,name,rating,reviews,salaries,jobs,ctypes,rated_for
0,TCS,3.8,67.4k,737.9k,398,IT Services & Consulting | 1 Lakh+ Employees | Public | 55 years old | Mumbai +303 more,"Job Security, Work Life Balance, Company Culture"
1,Accenture,4.0,43.1k,513.7k,5k,IT Services & Consulting | 1 Lakh+ Employees | Public | 34 years old | Dublin +156 more,"Company Culture, Job Security, Skill Development / Learning"
2,Cognizant,3.9,38.8k,497k,493,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 29 years old | Teaneck. New Jersey. +130 more,Skill Development / Learning
3,Wipro,3.8,35.8k,370.8k,339,IT Services & Consulting | 1 Lakh+ Employees | Public | 78 years old | Bangalore/Bengaluru +258 more,Job Security
4,ICICI Bank,4.0,31.2k,136k,222,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1225 more,"Job Security, Skill Development / Learning, Company Culture"
5,HDFC Bank,3.9,30.9k,123.3k,451,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1461 more,"Job Security, Skill Development / Learning"
6,Infosys,3.9,29.4k,413.5k,387,IT Services & Consulting | 1 Lakh+ Employees | Public | 42 years old | Bengaluru/Bangalore +154 more,"Job Security, Company Culture, Skill Development / Learning"
7,Capgemini,3.8,27.3k,336.8k,477,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Paris +104 more,"Job Security, Work Life Balance, Skill Development / Learning"
8,Tech Mahindra,3.7,25.6k,236.3k,1.1k,IT Services & Consulting | 1 Lakh+ Employees | Public | 37 years old | Pune +243 more,
9,HCLTech,3.7,25.1k,253.4k,635,IT Services & Consulting | 1 Lakh+ Employees | Public | 32 years old | Noida +162 more,Job Security
10,Genpact,3.9,24.5k,176.6k,648,IT Services & Consulting | 1 Lakh+ Employees | Public | 26 years old | New York +89 more,"Job Security, Skill Development / Learning, Work Life Balance"
11,Axis Bank,3.8,20.5k,92.3k,314,Banking | 50k-1 Lakh Employees | Public | 30 years old | Mumbai +1247 more,Job Security
12,Concentrix Corporation,3.9,20.3k,100.6k,116,BPO | 50k-1 Lakh Employees | Public | 40 years old | Fremont +97 more,"Job Security, Company Culture"
13,Amazon,4.2,19.4k,117.1k,683,Internet | 1 Lakh+ Employees | Public | 29 years old | Seattle +411 more,"Company Culture, Salary & Benefits, Work Life Balance"
14,Reliance Jio,3.9,18.7k,64.9k,177,Telecom | 50k-1 Lakh Employees | Public | 16 years old | Navi Mumbai +1112 more,"Job Security, Skill Development / Learning"
15,IBM,4.1,18.7k,196.7k,1.3k,Software Product | 50k-1 Lakh Employees | Public | 112 years old | Armonk +137 more,"Work Life Balance, Job Security, Skill Development / Learning"
16,Larsen & Toubro Limited,4.0,17.4k,76.8k,197,Engineering & Construction | 10k-50k Employees | Public | 85 years old | Mumbai +601 more,"Job Security, Skill Development / Learning"
17,Reliance Retail,3.9,16.9k,55.4k,268,Retail | 1 Lakh+ Employees | 17 years old | Navi Mumbai +935 more,"Skill Development / Learning, Job Security"
18,HDB Financial Services,4.0,16.4k,49.1k,100,NBFC | 1 Lakh+ Employees | 16 years old | Ahmedabad +910 more,"Skill Development / Learning, Job Security, Company Culture"
19,Teleperformance,3.6,16k,74.5k,266,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 45 years old | Paris +142 more,
20,Vodafone Idea,4.2,14.7k,61.7k,361,5k-10k Employees | Public | 5 years old | Mumbai +614 more,"Company Culture, Work Life Balance, Skill Development / Learning"
21,BYJU'S,3.1,13.6k,51.1k,884,EdTech | 10k-50k Employees | Indian Unicorn | 12 years old | Bangalore +295 more,"Job Security, Work Life Balance, Company Culture"
22,Deloitte,4.0,13.5k,139k,300,Accounting & Auditing | 1 Lakh+ Employees | 178 years old | London +151 more,"Job Security, Skill Development / Learning, Salary & Benefits"
23,Kotak Mahindra Bank,3.8,13.1k,74.8k,241,Banking | 50k-1 Lakh Employees | Public | 20 years old | Mumbai +536 more,Job Security
24,Reliance Industries,4.0,12.4k,63.3k,37,Oil & Gas | Public | 46 years old | Navi Mumbai +614 more,"Job Security, Skill Development / Learning, Work Life Balance"
25,Bharti Airtel,4.0,11.4k,44.2k,295,Telecom | 10k-50k Employees | Public | 28 years old | Gurgaon/Gurugram +616 more,"Skill Development / Learning, Job Security, Company Culture"
26,Tata Motors,4.2,10.5k,41.9k,18,Automobile | 10k-50k Employees | Public | 78 years old | Pune +435 more,"Job Security, Skill Development / Learning, Company Culture"
27,iEnergizer,4.5,9.2k,17.9k,100,BPO | 10k-50k Employees | 23 years old | Noida +24 more,"Skill Development / Learning, Company Culture, Job Security"
28,Flipkart,4.1,9.1k,44.5k,398,Internet | 10k-50k Employees | Public | 16 years old | Bangalore +508 more,"Skill Development / Learning, Company Culture, Job Security"
29,WNS,3.5,9k,52.1k,227,BPO | 10k-50k Employees | 27 years old | Mumbai +30 more,Job Security
30,IndusInd Bank,3.7,8.5k,44.3k,250,Banking | 10k-50k Employees | Public | 29 years old | Gurgaon/Gurugram +646 more,
31,Mahindra & Mahindra,4.1,8.4k,37.6k,94,Automobile | 1 Lakh+ Employees | Public | 78 years old | Mumbai +462 more,"Job Security, Skill Development / Learning, Company Culture"
32,Ernst & Young,3.6,8.2k,105.7k,1.8k,Accounting & Auditing | 50k-1 Lakh Employees | 21 years old | London +92 more,Job Security
33,Infosys BPM,3.9,7.7k,54k,40,BPO | 10k-50k Employees | 21 years old | Bangalore/Bengaluru +59 more,"Job Security, Company Culture, Skill Development / Learning"
34,DXC Technology,3.8,7.7k,75.7k,131,IT Services & Consulting | 10k-50k Employees | Public | 6 years old | Minato +63 more,Work Life Balance
35,IDFC FIRST Bank,4.0,7.3k,37.8k,92,Banking | 10k-50k Employees | Public | 5 years old | Mumbai +521 more,"Salary & Benefits, Job Security, Skill Development / Learning"
36,Conneqt Business Solutions,3.7,7.2k,25.1k,43,IT Services & Consulting | 10k-50k Employees | 21 years old | Mumbai +193 more,
37,HDFC Life,4.0,7.1k,23.6k,97,Insurance | 10k-50k Employees | Public | 23 years old | Mumbai +517 more,"Skill Development / Learning, Job Security, Company Culture"
38,LTIMindtree,3.7,6.9k,78.9k,35,IT Services & Consulting | 50k-1 Lakh Employees | Public | 24 years old | Bangalore/Bengaluru +44 more,
39,AU Small Finance Bank,4.4,6.8k,17.5k,170,Banking | 10k-50k Employees | Fortune India 500 | 27 years old | Jaipur +374 more,"Skill Development / Learning, Job Security, Company Culture"
40,Bajaj Finserv,4.0,6.7k,23.9k,51,Insurance | 10k-50k Employees | Public | 16 years old | Pune +815 more,"Salary & Benefits, Skill Development / Learning, Job Security"
41,Samsung,4.1,6.5k,18.2k,258,Consumer Electronics & Appliances | 5k-10k Employees | Public | 85 years old | Seoul +489 more,"Salary & Benefits, Job Security, Skill Development / Learning"
42,HSBC Group,4.1,6.5k,55.7k,24,Banking | 10k-50k Employees | Forbes Global 2000 | 21 years old | Pune +55 more,"Job Security, Work Life Balance, Company Culture"
43,Hinduja Global Solutions,3.9,6.5k,26.1k,35,Software Product | 10k-50k Employees | Public | 23 years old | Bangalore/Bengaluru +88 more,"Job Security, Company Culture, Work Life Balance"
44,Mphasis,3.5,6.4k,58.9k,88,IT Services & Consulting | 10k-50k Employees | Public | 25 years old | Bangalore/Bengaluru +43 more,"Promotions / Appraisal, Salary & Benefits"
45,PwC,3.6,6.4k,66.4k,562,Accounting & Auditing | 10k-50k Employees | Conglomerate | 143 years old | London +84 more,Job Security
46,Startek,3.2,6.4k,23.4k,43,BPO | 10k-50k Employees | Public | 6 years old | Mumbai +64 more,"Promotions / Appraisal, Salary & Benefits"
47,Ericsson,4.3,6.3k,43.1k,79,10k-50k Employees | Forbes Global 2000 | 147 years old | Stockholm +141 more,"Company Culture, Work Life Balance, Job Security"
48,Maruti Suzuki,4.2,6.1k,25.7k,38,Automobile | 10k-50k Employees | Public | 42 years old | New Delhi +343 more,"Job Security, Salary & Benefits, Skill Development / Learning"
49,Yes Bank,3.9,5.9k,39k,29,Banking | 10k-50k Employees | Public | 19 years old | Mumbai +420 more,"Work Life Balance, Salary & Benefits"
50,Asian Paints,4.1,5.8k,20.2k,104,Chemicals | 5k-10k Employees | Public | 81 years old | Mumbai +387 more,"Salary & Benefits, Skill Development / Learning, Job Security"
51,Dr. Reddy's,4.1,5.7k,23.6k,146,Pharma | 10k-50k Employees | Public | 39 years old | Hyderabad/Secunderabad +152 more,"Skill Development / Learning, Company Culture, Work Life Balance"
52,Cipla Pharmaceutical,4.1,5.7k,23.1k,37,Pharma | 10k-50k Employees | Public | 88 years old | Mumbai +220 more,"Skill Development / Learning, Salary & Benefits, Company Culture"
53,Sutherland Global Services,3.8,5.6k,26.4k,191,IT Services & Consulting | 10k-50k Employees | 37 years old | Pittsford +49 more,
54,UltraTech Cement,4.2,5.4k,20.3k,14,Building Material | 10k-50k Employees | Public | 40 years old | Mumbai +415 more,"Job Security, Skill Development / Learning, Company Culture"
55,NTT DATA,4.0,5.4k,48.7k,108,IT Services & Consulting | 10k-50k Employees | 35 years old | Chiyoda City +47 more,"Job Security, Work Life Balance, Company Culture"
56,EXL Service,3.8,5.4k,32.5k,227,Analytics & KPO | 10k-50k Employees | 24 years old | New York City +41 more,"Job Security, Work Life Balance"
57,ICICI Prudential Life Insurance,4.1,5.3k,20.8k,258,Insurance | 10k-50k Employees | Public | 23 years old | Mumbai +434 more,"Job Security, Skill Development / Learning, Salary & Benefits"
58,Bandhan Bank,3.8,5.3k,18.3k,27,Banking | 50k-1 Lakh Employees | Public | 22 years old | Kolkata +692 more,Job Security
59,Jana Small Finance Bank,3.8,5.3k,15.5k,146,Banking | 10k-50k Employees | Public | 17 years old | Bangalore/Bengaluru +333 more,
60,Paytm,3.5,5.2k,27.4k,628,FinTech | 10k-50k Employees | Public | 13 years old | Noida +287 more,
61,HCL Group,3.7,5.1k,69.7k,2,IT Services & Consulting | 1 Lakh+ Employees | 47 years old | Chennai +70 more,Job Security
62,Lupin,4.1,5.1k,21.5k,24,Pharma | 10k-50k Employees | Public | 55 years old | Mumbai +155 more,"Skill Development / Learning, Company Culture, Work Life Balance"
63,Indian Army,4.7,5.1k,10.5k,--,Defence & Aerospace | 1 Lakh+ Employees | Public | 128 years old | New Delhi +305 more,"Job Security, Company Culture, Work Satisfaction"
64,Bajaj Finance,4.0,5k,18.8k,135,NBFC | 10k-50k Employees | 36 years old | Pune +723 more,"Salary & Benefits, Skill Development / Learning, Job Security"
65,TATA Steel,4.1,5k,20.4k,41,Iron & Steel | 1 Lakh+ Employees | Public | 116 years old | Mumbai +154 more,"Job Security, Skill Development / Learning, Work Life Balance"
66,Udaan,4.0,5k,19.2k,297,Internet | 1k-5k Employees | Indian Unicorn | 7 years old | Bangalore +329 more,"Salary & Benefits, Skill Development / Learning"
67,L&T Infotech,3.8,4.9k,67.2k,138,IT Services & Consulting | 10k-50k Employees | Public | 27 years old | Mumbai +74 more,Job Security
68,Zydus Lifesciences,4.1,4.9k,17.2k,45,Pharma | 10k-50k Employees | Public | 71 years old | Ahmedabad +139 more,"Job Security, Skill Development / Learning, Salary & Benefits"
69,ITC,3.9,4.9k,21.8k,82,FMCG | 10k-50k Employees | Public | 48 years old | Kolkata +284 more,"Job Security, Skill Development / Learning"
70,Wells Fargo,4.1,4.7k,39.8k,117,Banking | 10k-50k Employees | Public | 171 years old | San Francisco +19 more,"Job Security, Work Life Balance, Company Culture"
71,JP Morgan Chase,4.2,4.7k,59.1k,1.1k,Financial Services | 50k-1 Lakh Employees | Forbes Global 2000 | 23 years old | New York +32 more,"Job Security, Company Culture, Skill Development / Learning"
72,Delhivery,4.0,4.7k,16k,433,10k-50k Employees | Fortune India 500 | 12 years old | Delhi +578 more,Skill Development / Learning
73,FIS,3.9,4.6k,37.1k,70,FinTech | 10k-50k Employees | 55 years old | Jacksonville +38 more,"Work Life Balance, Company Culture, Job Security"
74,Hindustan Unilever,4.2,4.6k,20.4k,183,FMCG | 10k-50k Employees | Public | 151 years old | London +402 more,"Skill Development / Learning, Job Security, Company Culture"
75,Quess,4.0,4.6k,22.1k,239,Recruitment | 1 Lakh+ Employees | Public | 16 years old | Bangalore +472 more,Work Life Balance
76,Amazon Development Centre India,4.2,4.6k,5k,30,Internet | 10k-50k Employees | Hyderabad/Secunderabad +59 more,"Company Culture, Salary & Benefits, Work Life Balance"
77,IIFL Finance,3.9,4.6k,17.2k,142,NBFC | 10k-50k Employees | Public | 28 years old | Mumbai +629 more,
78,Hexaware Technologies,3.7,4.4k,41.2k,374,IT Services & Consulting | 10k-50k Employees | Fortune India 500 | 33 years old | Mumbai +39 more,
79,Sun Pharmaceutical Industries,4.1,4.3k,19.1k,105,Pharma | 10k-50k Employees | Public | 40 years old | Mumbai +182 more,"Job Security, Skill Development / Learning, Salary & Benefits"
80,Home Credit Finance,4.1,4.2k,11.7k,95,Financial Services | 10k-50k Employees | 11 years old | Gurugram +109 more,"Skill Development / Learning, Company Culture, Work Life Balance"
81,JSW Steel,3.9,4.2k,22.5k,66,Iron & Steel | 10k-50k Employees | Public | 41 years old | Mumbai +122 more,"Job Security, Skill Development / Learning"
82,Ujjivan Small Finance Bank,4.1,4.2k,12.6k,16,Banking | 10k-50k Employees | Public | 6 years old | Bangalore/Bengaluru +413 more,"Company Culture, Job Security, Skill Development / Learning"
83,Max Life Insurance,4.1,4.1k,15.1k,369,Insurance | 10k-50k Employees | 23 years old | Gurgaon/Gurugram +362 more,"Company Culture, Skill Development / Learning, Job Security"
84,Shapoorji Pallonji Group,4.2,4.1k,15.2k,28,Engineering & Construction | 5k-10k Employees | Conglomerate | 158 years old | Mumbai +153 more,"Job Security, Company Culture, Skill Development / Learning"
85,KPMG India,3.6,4.1k,53.3k,433,Management Consulting | 10k-50k Employees | 36 years old | Bengaluru/Bangalore +73 more,Job Security
86,Oracle,3.9,4.1k,49.1k,186,Software Product | 50k-1 Lakh Employees | Public | 46 years old | Austin +39 more,"Work Life Balance, Job Security, Company Culture"
87,OPPO,3.9,4.1k,13.6k,10,Consumer Electronics & Appliances | 10k-50k Employees | Public | 19 years old | Dongguan +354 more,Skill Development / Learning
88,Aurobindo Pharma,4.0,4.1k,21.2k,5,Pharma | 10k-50k Employees | Public | 37 years old | Hyderabad/Secunderabad +75 more,"Job Security, Work Life Balance, Salary & Benefits"
89,Muthoot Finance,3.5,4.1k,11.6k,295,NBFC | 10k-50k Employees | Public | 84 years old | Kochi/Cochin +590 more,
90,eClerx,3.5,4k,26k,125,IT Services & Consulting | 10k-50k Employees | Public | 23 years old | Mumbai +17 more,"Promotions / Appraisal, Salary & Benefits"
91,Ashok Leyland,4.1,4k,18.4k,2,Automobile | 10k-50k Employees | Public | 75 years old | Chennai +199 more,"Skill Development / Learning, Work Satisfaction, Company Culture"
92,Shriram Transport Finance,4.1,4k,8.8k,--,NBFC | 10k-50k Employees | Public | 44 years old | Mumbai +755 more,"Job Security, Skill Development / Learning, Work Life Balance"
93,Capgemini Technology Services India Limited,4.0,4k,42k,2,IT Services & Consulting | 1 Lakh+ Employees | Bengaluru/Bangalore +35 more,"Job Security, Work Life Balance, Company Culture"
94,Tata Projects,4.2,4k,18.9k,34,Engineering & Construction | 5k-10k Employees | Public | 44 years old | Mumbai +226 more,"Job Security, Company Culture, Skill Development / Learning"
95,Siemens,4.2,4k,26.7k,1.2k,Power | 5k-10k Employees | Public | 176 years old | Munich +119 more,"Job Security, Work Life Balance, Company Culture"
96,Apollo Hospitals,4.1,4k,15.7k,63,Healthcare | 10k-50k Employees | Public | 40 years old | Chennai +172 more,"Job Security, Skill Development / Learning, Company Culture"
97,Vivo,4.0,3.9k,14.2k,5,Consumer Electronics & Appliances | 5k-10k Employees | Conglomerate | 14 years old | Gurgaon/Gurugram +359 more,"Skill Development / Learning, Company Culture"
98,JLL,4.2,3.9k,19.1k,41,Real Estate | 10k-50k Employees | Forbes Global 2000 | 26 years old | Mumbai +67 more,"Skill Development / Learning, Job Security, Company Culture"
99,L&T Construction,4.0,3.8k,13.2k,--,Engineering & Construction | 10k-50k Employees | Public | 79 years old | Chennai +321 more,"Job Security, Skill Development / Learning, Salary & Benefits"
100,First Source,3.8,3.8k,19.4k,115,BPO | 10k-50k Employees | Public | 22 years old | Mumbai +51 more,
101,JustDial,3.5,3.8k,15.1k,110,Internet | 10k-50k Employees | Public | 27 years old | Mumbai +162 more,
102,Omega Healthcare,3.7,3.8k,19.4k,88,Healthcare | 10k-50k Employees | 20 years old | Florida +36 more,
103,Hero MotoCorp,4.1,3.8k,13.9k,7,Automobile | 5k-10k Employees | Public | 39 years old | Gurgaon/Gurugram +300 more,"Work Life Balance, Job Security, Company Culture"
104,Hewlett-Packard Enterprise,4.3,3.7k,30.8k,62,Emerging Technologies | 10k-50k Employees | Forbes Global 2000 | 8 years old | Houston +94 more,"Company Culture, Work Life Balance, Job Security"
105,Megha Engineering & Infrastructures,4.0,3.7k,13.8k,14,Engineering & Construction | 5k-10k Employees | Conglomerate | 34 years old | Hyderabad/Secunderabad +268 more,"Job Security, Skill Development / Learning, Work Life Balance"
106,Mahindra & Mahindra Financial Services,4.3,3.6k,10.1k,61,NBFC | 10k-50k Employees | Public | 32 years old | Mumbai +621 more,"Job Security, Company Culture, Work Life Balance"
107,Cyient,3.7,3.6k,24.6k,265,IT Services & Consulting | 10k-50k Employees | Public | 32 years old | Hyderabad/Secunderabad +31 more,Job Security
108,Bajaj Allianz Life Insurance,4.1,3.6k,14.1k,36,Insurance | 10k-50k Employees | 22 years old | Pune +474 more,"Salary & Benefits, Work Life Balance, Job Security"
109,ICICI Lombard General Insurance Company,3.8,3.6k,15.9k,139,Insurance | 10k-50k Employees | Public | 22 years old | Mumbai +246 more,Job Security
110,D Mart,3.9,3.5k,13.5k,76,Retail | 10k-50k Employees | Fortune India 500 | 23 years old | Mumbai +201 more,"Job Security, Company Culture"
111,Indiamart Intermesh,3.6,3.5k,16.8k,877,Internet | 1k-5k Employees | 27 years old | Noida +130 more,
112,BigBasket,4.0,3.5k,14.7k,17,Internet | 10k-50k Employees | Indian Unicorn | 12 years old | Bangalore +103 more,"Job Security, Skill Development / Learning, Company Culture"
113,Hyundai Motor,4.3,3.5k,13.3k,17,Automobile | 10k-50k Employees | Fortune India 500 | 56 years old | Seoul +257 more,"Job Security, Salary & Benefits, Skill Development / Learning"
114,TVS Motor,4.0,3.4k,13.8k,141,Automobile | 5k-10k Employees | Public | 44 years old | Chennai +257 more,"Skill Development / Learning, Salary & Benefits, Company Culture"
115,Reliance Communications,3.9,3.4k,13k,2,Telecom | 201-500 Employees | Public | 21 years old | Navi Mumbai +407 more,Skill Development / Learning
116,Atos Syntel,3.5,3.3k,34.2k,46,IT Services & Consulting | 5k-10k Employees | 43 years old | Troy +18 more,Promotions / Appraisal
117,IQVIA,4.1,3.3k,23.6k,35,Clinical Research | 10k-50k Employees | Forbes Global 2000 | 41 years old | Durham +40 more,"Job Security, Company Culture, Work Life Balance"
118,UST,3.9,3.3k,33.1k,131,IT Services & Consulting | 10k-50k Employees | 22 years old | Aliso Viejo +34 more,"Work Life Balance, Company Culture"
119,GlobalLogic,3.7,3.3k,28.7k,84,IT Services & Consulting | 10k-50k Employees | 23 years old | San Jose +29 more,"Work Life Balance, Job Security, Company Culture"
120,Bosch,4.3,3.3k,18k,10,Auto Components | 10k-50k Employees | Public | 137 years old | Gerlingen +92 more,"Company Culture, Work Life Balance, Skill Development / Learning"
121,Manappuram Finance,3.9,3.3k,7.6k,6,NBFC | 10k-50k Employees | Public | 74 years old | Thrissur/Trichur +455 more,"Skill Development / Learning, Promotions / Appraisal"
122,Standard Chartered Bank,3.9,3.3k,24.6k,30,Banking | 10k-50k Employees | Fortune India 500 | 54 years old | London +58 more,"Job Security, Company Culture"
123,Bosch Global Software Technologies,4.2,3.3k,30.4k,14,Software Product | 10k-50k Employees | 33 years old | Gerlingen +27 more,"Job Security, Work Life Balance, Company Culture"
124,Oyo Rooms,3.4,3.3k,25.1k,172,Hospitality | 1k-5k Employees | Indian Unicorn | 10 years old | Gurgaon +111 more,Job Security
125,Coforge,3.6,3.3k,29.7k,178,IT Services & Consulting | 10k-50k Employees | Public | 19 years old | Noida +81 more,Promotions / Appraisal
126,SBI Cards & Payment Services,3.7,3.3k,15.3k,106,1k-5k Employees | 25 years old | Gurgaon/Gurugram +306 more,
127,Cummins,4.4,3.3k,14.4k,56,Auto Components | 5k-10k Employees | Fortune India 500 | 61 years old | Columbus +94 more,"Company Culture, Work Life Balance, Skill Development / Learning"
128,Virtusa Consulting Services,3.8,3.3k,43.2k,108,IT Services & Consulting | 10k-50k Employees | 27 years old | Southborough +30 more,
129,BT Group,4.1,3.3k,10.4k,17,Telecom | 10k-50k Employees | Forbes Global 2000 | 177 years old | London +17 more,"Job Security, Work Life Balance, Company Culture"
130,Nagarro,4.2,3.3k,19k,66,IT Services & Consulting | 10k-50k Employees | 27 years old | Munich +35 more,"Company Culture, Work Life Balance, Salary & Benefits"
131,BNY Mellon,4.1,3.2k,26.1k,425,Investment Banking / Venture Capital / Private Equity | 10k-50k Employees | Forbes Global 2000 | 19 years old | New York City +14 more,"Company Culture, Work Life Balance, Job Security"
132,SMFG India Credit,4.1,3.2k,10.2k,47,NBFC | 10k-50k Employees | 16 years old | Mumbai +467 more,"Salary & Benefits, Job Security, Skill Development / Learning"
133,Amdocs,4.0,3.2k,30.3k,10,Software Product | 10k-50k Employees | Forbes Global 2000 | 41 years old | Chesterfield +14 more,"Company Culture, Job Security"
134,Schneider Electric,4.1,3.2k,19.2k,173,Industrial Automation | 10k-50k Employees | Forbes Global 2000 | 24 years old | Paris +101 more,"Company Culture, Job Security, Skill Development / Learning"
135,Future Group,4.3,3.1k,12.5k,20,Retail | 10k-50k Employees | Conglomerate | 10 years old | Mumbai +199 more,"Skill Development / Learning, Company Culture, Work Life Balance"
136,CBRE,4.2,3.1k,15.1k,124,Real Estate | 10k-50k Employees | Forbes Global 2000 | 117 years old | Los Angeles +64 more,"Skill Development / Learning, Company Culture, Job Security"
137,Intelenet Global Services,3.7,3.1k,9.1k,--,BPO | 10k-50k Employees | 23 years old | Mumbai +57 more,
138,Cholamandalam Investment & Finance,4.1,3.1k,9k,17,NBFC | 5k-10k Employees | Fortune India 500 | 45 years old | Chennai +588 more,"Salary & Benefits, Job Security, Skill Development / Learning"
139,L&T Technology Services,3.4,3.1k,28.1k,2,IT Services & Consulting | 10k-50k Employees | Public | 11 years old | Vadodara/Baroda +39 more,"Promotions / Appraisal, Salary & Benefits"
140,State Bank of India,3.7,3.1k,10.2k,186,Banking | 1 Lakh+ Employees | Fortune India 500 | 217 years old | Mumbai +449 more,Job Security
141,Swiggy,3.9,3k,18.2k,387,Internet | 5k-10k Employees | Indian Unicorn | 9 years old | Bangalore +168 more,Salary & Benefits
142,JBM Group,4.0,3k,13k,1,Auto Components | 1k-5k Employees | Public | 40 years old | Gurgaon/Gurugram +83 more,"Job Security, Skill Development / Learning"
143,Dell,4.1,3k,24k,81,Consumer Electronics & Appliances | 10k-50k Employees | Forbes Global 2000 | 39 years old | Round Rock +88 more,"Company Culture, Work Life Balance, Skill Development / Learning"
144,Ecom Express,4.0,3k,8.4k,61,Logistics | 10k-50k Employees | 11 years old | Gurgaon +582 more,"Skill Development / Learning, Work Life Balance, Company Culture"
145,Ekart Logistics,4.0,3k,7.6k,--,Logistics | 5k-10k Employees | 14 years old | San Francisco +519 more,"Skill Development / Learning, Salary & Benefits, Company Culture"
146,SBI Life Insurance Company,3.8,3k,10k,7,Insurance | 10k-50k Employees | 22 years old | Mumbai +494 more,Job Security
147,Bajaj Auto,3.9,3k,12.8k,3,Automobile | 5k-10k Employees | Public | 78 years old | Pune +227 more,
148,Optum,4.0,3k,21.3k,24,Healthcare | 10k-50k Employees | 46 years old | Prairie +25 more,"Job Security, Work Life Balance, Company Culture"
149,Nagarjuna Construction Company,4.1,2.9k,10.3k,3,Engineering & Construction | 5k-10k Employees | Public | 25 years old | Hyderabad/Secunderabad +207 more,"Job Security, Skill Development / Learning, Company Culture"
150,KEC International,4.1,2.9k,10.5k,3,Engineering & Construction | 5k-10k Employees | Public | 78 years old | Mumbai +252 more,"Job Security, Skill Development / Learning, Company Culture"
151,Equitas Small Finance Bank,4.1,2.9k,11.2k,13,Banking | 10k-50k Employees | Fortune India 500 | 16 years old | Chennai +326 more,"Job Security, Work Life Balance, Company Culture"
152,Aditya Birla Fashion and Retail,4.2,2.9k,11.6k,48,Retail | 10k-50k Employees | Fortune India 500 | 8 years old | Mumbai +214 more,"Job Security, Skill Development / Learning, Company Culture"
153,Viatris,4.3,2.9k,14k,6,Pharma | 10k-50k Employees | Forbes Global 2000 | 62 years old | Canonsburg +66 more,"Salary & Benefits, Job Security, Work Life Balance"
154,Muthoot Fincorp,4.0,2.9k,7.9k,51,NBFC | 10k-50k Employees | Conglomerate | 136 years old | Trivandrum/Thiruvananthapuram +512 more,"Job Security, Work Life Balance, Skill Development / Learning"
155,Piramal Capital Housing Finance,4.3,2.8k,8.7k,21,NBFC | 1k-5k Employees | 3 years old | Mumbai +305 more,"Company Culture, Skill Development / Learning, Work Life Balance"
156,Samvardhana Motherson Group,3.8,2.8k,13.8k,43,Auto Components | 1k-5k Employees | Public | 37 years old | Noida +71 more,Job Security
157,Godrej & Boyce Manufacturing,3.9,2.8k,16.3k,47,Engineering & Construction | 10k-50k Employees | Fortune India 500 | 126 years old | Mumbai +126 more,Job Security
158,Tata Communications,4.1,2.8k,21.4k,424,Telecom | 5k-10k Employees | Public | 37 years old | Mumbai +86 more,"Job Security, Company Culture, Skill Development / Learning"
159,Royal Enfield,4.2,2.8k,13.9k,11,Automobile | 10k-50k Employees | 122 years old | Gurgaon/Gurugram +282 more,"Skill Development / Learning, Company Culture, Work Satisfaction"
160,L&T Finance,4.0,2.8k,10.5k,--,NBFC | 10k-50k Employees | Public | 29 years old | Mumbai +451 more,"Salary & Benefits, Skill Development / Learning"
161,LG Electronics,4.0,2.8k,10.1k,6,Consumer Electronics & Appliances | 10k-50k Employees | Public | 65 years old | Seoul +232 more,"Job Security, Skill Development / Learning"
162,John Deere,4.3,2.8k,13.3k,12,IT Services & Consulting | 5k-10k Employees | Fortune India 500 | 22 years old | Moline +111 more,"Company Culture, Skill Development / Learning, Work Life Balance"
163,Intas Pharmaceuticals,4.2,2.8k,14.3k,54,Pharma | 10k-50k Employees | Fortune India 500 | 23 years old | Ahmedabad +110 more,"Job Security, Work Life Balance, Salary & Benefits"
164,Whitehat jr,3.5,2.7k,9.3k,514,EdTech | 5k-10k Employees | Startup | 5 years old | Mumbai +49 more,Job Security
165,Varun Beverages,4.0,2.7k,9k,63,Beverage | 5k-10k Employees | Public | 28 years old | Gurgaon/Gurugram +252 more,"Job Security, Salary & Benefits"
166,Thermax Limited,4.2,2.7k,11.6k,41,Industrial Machinery | 1k-5k Employees | Public | 57 years old | Pune +158 more,"Job Security, Company Culture, Skill Development / Learning"
167,Deutsche Bank,4.1,2.7k,28.4k,640,Banking | 10k-50k Employees | Fortune India 500 | 153 years old | Frankfurt +34 more,"Job Security, Company Culture, Work Life Balance"
168,Hetero Drugs,3.8,2.6k,13.3k,26,Pharma | 1k-5k Employees | 30 years old | Hyderabad/Secunderabad +37 more,Job Security
169,Randstad,3.9,2.6k,12.6k,2.3k,1k-5k Employees | Conglomerate | 31 years old | Chennai +234 more,Work Life Balance
170,Sodexo,4.1,2.6k,9.6k,83,Facility Management Services | 10k-50k Employees | Forbes Global 2000 | 15 years old | Issy les Moulineaux +124 more,"Skill Development / Learning, Company Culture, Work Life Balance"
171,Ford Motor,4.4,2.6k,13.9k,33,Automobile | 5k-10k Employees | Public | 120 years old | Dearborn +104 more,"Company Culture, Work Life Balance, Salary & Benefits"
