,name,rating,reviews,salaries,jobs,ctypes,rated_for
2622,Ricoh,4.0,258,1k,--,IT Services & Consulting | 1-10 Employees | Public | 87 years old | Ota City +40 more,"Work Life Balance, Skill Development / Learning, Salary & Benefits"
2623,SMS Infrastructure,4.0,258,2.7k,15,Engineering & Construction | 1k-5k Employees | 60 years old | Nagpur +40 more,"Job Security, Work Life Balance"
2624,RSM India,3.4,258,1.8k,34,Accounting & Auditing | 1k-5k Employees | 59 years old | London +20 more,
2625,K L University,3.8,258,1k,9,Education & Training | 201-500 Employees | 43 years old | Vijayawada +13 more,
2626,Cedcoss Technologies,3.4,258,1.4k,43,Software Product | 1k-5k Employees | 13 years old | Lucknow +1 more,
2627,Boehringer-Ingelheim,4.1,258,1k,--,Pharma | 501-1k Employees | 138 years old | Ingelheim +45 more,"Company Culture, Skill Development / Learning, Work Life Balance"
2628,M.J Global,4.4,258,222,--,Packaging | 201-500 Employees | Public | 43 years old | Noida +6 more,"Skill Development / Learning, Work Satisfaction, Salary & Benefits"
2629,Nuziveedu Seeds,4.3,257,1k,--,Agriculture | 1k-5k Employees | Public | 50 years old | Hyderabad/Secunderabad +46 more,"Work Life Balance, Job Security, Company Culture"
2630,GD Research Center,3.6,257,2.2k,5,Analytics & KPO | 1k-5k Employees | 16 years old | Hyderabad/Secunderabad +9 more,Job Security
2631,ABIS Exports,3.9,257,1.2k,7,Food Processing | 1k-5k Employees | 38 years old | Rajnandgaon +54 more,"Skill Development / Learning, Company Culture"
2632,Athenahealth Technology,4.3,257,2.7k,32,IT Services & Consulting | 1k-5k Employees | 26 years old | Sydney +4 more,"Company Culture, Work Life Balance, Job Security"
2633,Yodlee,3.8,257,2.4k,--,Software Product | 1k-5k Employees | 24 years old | Redwood City +4 more,"Work Life Balance, Company Culture, Salary & Benefits"
2634,Mobile Programming,3.0,257,2.5k,527,IT Services & Consulting | 1k-5k Employees | 22 years old | Los Angeles +13 more,"Job Security, Company Culture, Promotions / Appraisal"
2635,Mr Cooper,4.2,257,1.9k,18,Financial Services | 501-1k Employees | 29 years old | Dallas +5 more,"Job Security, Company Culture, Work Life Balance"
2636,Romsons Group Of Industries,3.8,256,1.3k,8,Medical Equipment | 201-500 Employees | 71 years old | Agra +41 more,
2637,Origo Commodities,3.8,256,1k,--,Agriculture | 1k-5k Employees | 13 years old | Gurgaon +49 more,Work Life Balance
2638,Paper boat,3.9,256,1k,1,Beverage | 51-200 Employees | 10 years old | Bangalore +57 more,Salary & Benefits
2639,SK E&C,4.3,256,796,--,Engineering & Construction | 201-500 Employees | 46 years old | Seoul +36 more,"Skill Development / Learning, Work Satisfaction, Salary & Benefits"
2640,Paper boat,3.9,256,1k,1,Beverage | 51-200 Employees | 10 years old | Bangalore +57 more,Salary & Benefits
2641,Course5,3.9,256,1.9k,22,Analytics & KPO | 1k-5k Employees | 23 years old | Bellevue +10 more,"Job Security, Company Culture, Skill Development / Learning"
2642,SK E&C,4.3,256,796,--,Engineering & Construction | 201-500 Employees | 46 years old | Seoul +36 more,"Skill Development / Learning, Work Satisfaction, Salary & Benefits"
2643,DataTrained,4.2,256,349,80,EdTech | 51-200 Employees | Startup | 11 years old | Bangalore +3 more,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
2644,Intercontinental Consultants & Technocrats,4.0,255,1.1k,10,Engineering & Construction | 1k-5k Employees | 36 years old | Delhi/NCR +49 more,"Work Life Balance, Work Satisfaction"
2645,Titan Engineering & Automation,4.2,255,1.4k,--,Industrial Automation | 501-1k Employees | 29 years old | Hosur +9 more,"Job Security, Company Culture, Skill Development / Learning"
2646,Polaris Consulting,3.7,255,1.6k,9,IT Services & Consulting | 1k-5k Employees | 30 years old | Chennai +16 more,
2647,Smart Value Products And Services,4.3,255,691,--,FMCG | 51-200 Employees | 17 years old | Delhi/NCR +65 more,"Skill Development / Learning, Company Culture, Work Satisfaction"
2648,Mann And Hummel Filter,3.8,255,1.4k,4,Industrial Machinery | 501-1k Employees | 81 years old | Schwieberdinger +11 more,Work Life Balance
2649,Hitachi Hi-Rel Power Electronics,3.7,255,1.5k,3,Electronics Manufacturing | 501-1k Employees | 40 years old | Ahmedabad +25 more,Job Security
2650,Konecranes,4.1,255,1.7k,--,Industrial Machinery | 501-1k Employees | 48 years old | Hyvinkää +12 more,"Work Life Balance, Company Culture, Job Security"
2651,R.S. Infraprojects,4.0,255,1.3k,--,Real Estate | 501-1k Employees | 18 years old | Noida +37 more,"Job Security, Work Life Balance, Skill Development / Learning"
2652,Flipkart Health+,3.9,255,1.3k,4,Internet | 501-1k Employees | Startup | 10 years old | Kolkata +27 more,
2653,LendingKart,3.4,255,1.9k,73,NBFC | 1k-5k Employees | Public | 9 years old | Ahmedabad +25 more,
2654,Aka Logistics,3.2,255,1.3k,3,Logistics | 1k-5k Employees | Public | 15 years old | Kolkata +30 more,"Promotions / Appraisal, Company Culture, Salary & Benefits"
2655,Jay Chemical Industries,4.1,255,1.3k,2,Chemicals | 1k-5k Employees | 56 years old | Ahmedabad +19 more,"Work Life Balance, Company Culture, Work Satisfaction"
2656,Eugia Pharma Specialities,4.0,255,1.4k,--,Pharma | 201-500 Employees | Hyderabad/Secunderabad +10 more,"Job Security, Work Life Balance, Salary & Benefits"
2657,Tata Steel Processing & Distribution,3.9,254,1.2k,--,Iron & Steel | 1k-5k Employees | 26 years old | Kolkata +32 more,"Job Security, Work Life Balance"
2658,Urban Ladder,3.9,254,1.3k,62,Furniture & Furnishing | 501-1k Employees | Startup | 11 years old | Bangalore +24 more,Work Life Balance
